Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 78509.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 9.87 sec. (3800.98 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

      0     0      103.6140   934       11.2399 UserPurge1: 4    26428  821.84%
      0     0      103.6139   915       11.2399 UserPurge1: 19    26450  821.84%
      0     0      103.6138   904       11.2399 UserPurge1: 4    26471  821.84%
      0     0      103.6137   934       11.2399 UserPurge1: 4    26499  821.83%
      0     0      103.6136   898       11.2399 UserPurge1: 19    26522  821.83%
      0     0      103.6135   963       11.2399 UserPurge1: 19    26555  821.83%
      0     0      103.6134   931       11.2399 UserPurge1: 4    26566  821.83%
      0     0      103.6134   987       11.2399 UserPurge1: 4    26597  821.83%
      0     0      103.6134   943       11.2399 UserPurge1: 4    26630  821.83%
      0     0      103.6134  1005       11.2399 UserPurge1: 4    26663  821.83%
      0     0      103.6132   977       11.2399 UserPurge1: 4    26708  821.83%
      0     0      103.6131   885       11.2399 UserPurge1: 4    26736  821.83%
      0     0      103.6130   984       11.2399 UserPurge1: 4    26776  821.83%
