ENSMUSP00000003569	ENSMUSG00000003477
ENSMUSP00000003572	ENSMUSG00000029777
ENSMUSP00000003574	ENSMUSG00000003484
ENSMUSP00000003575	ENSMUSG00000031799
ENSMUSP00000003597	ENSMUSG00000003505
ENSMUSP00000003599	ENSMUSG00000023036
ENSMUSP00000003612	ENSMUSG00000003518
ENSMUSP00000003620	ENSMUSG00000003526
ENSMUSP00000003621	ENSMUSG00000003527
ENSMUSP00000003622	ENSMUSG00000003528
ENSMUSP00000003628	ENSMUSG00000003534
ENSMUSP00000003635	ENSMUSG00000003541
ENSMUSP00000003640	ENSMUSG00000003545
ENSMUSP00000003641	ENSMUSG00000003546
ENSMUSP00000003642	ENSMUSG00000003546
ENSMUSP00000003643	ENSMUSG00000030399
ENSMUSP00000003645	ENSMUSG00000003549
ENSMUSP00000003655	ENSMUSG00000003559
ENSMUSP00000003659	ENSMUSG00000031849
ENSMUSP00000003669	ENSMUSG00000003573
ENSMUSP00000003677	ENSMUSG00000003581
ENSMUSP00000003681	ENSMUSG00000003585
ENSMUSP00000003687	ENSMUSG00000021253
ENSMUSP00000003705	ENSMUSG00000003604
ENSMUSP00000003710	ENSMUSG00000057230
ENSMUSP00000003714	ENSMUSG00000003617
ENSMUSP00000003717	ENSMUSG00000042476
ENSMUSP00000003720	ENSMUSG00000003623
ENSMUSP00000003725	ENSMUSG00000024050
ENSMUSP00000003726	ENSMUSG00000024002
ENSMUSP00000003741	ENSMUSG00000003644
ENSMUSP00000003754	ENSMUSG00000003657
ENSMUSP00000003759	ENSMUSG00000003662
ENSMUSP00000003762	ENSMUSG00000003665
ENSMUSP00000003777	ENSMUSG00000003680
ENSMUSP00000003808	ENSMUSG00000038508
ENSMUSP00000003818	ENSMUSG00000003721
ENSMUSP00000003826	ENSMUSG00000032269
ENSMUSP00000003828	ENSMUSG00000003731
ENSMUSP00000003843	ENSMUSG00000003746
ENSMUSP00000003850	ENSMUSG00000003752
ENSMUSP00000003857	ENSMUSG00000089832
ENSMUSP00000003860	ENSMUSG00000003762
ENSMUSP00000003870	ENSMUSG00000025025
ENSMUSP00000003876	ENSMUSG00000003778
ENSMUSP00000003877	ENSMUSG00000003779
ENSMUSP00000003898	ENSMUSG00000022842
ENSMUSP00000003906	ENSMUSG00000003808
