Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 61761.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 7.27 sec. (3095.31 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

     97    75      257.3468     8      253.8387      258.0372    23750    1.65%x_ENSMUSP0000006 U     97     96      6
     98    76      257.3355     7      253.8387      258.0372    23755    1.65%x_ENSP0000034107 U     98     97      7
    100    78      257.2758    14      253.8387      258.0372    23788    1.65%x_ENSP0000000953 D    100     99      9
    101    79      257.2429     5      253.8387      258.0372    23813    1.65%x_ENSMUSP0000004 U    101    100     10
    103    81      257.2134    14      253.8387      258.0372    23832    1.65%x_ENSP0000034520 U    103    102     12
    105    83      257.2023    11      253.8387      258.0372    23840    1.65%x_ENSP0000035999 D    105    104     14
Elapsed time = 998.07 sec. (501611.68 ticks, tree = 7.63 MB, solutions = 3)
    106    84      257.1847     3      253.8387      258.0372    23847    1.65%x_ENSP0000039159 U    106    105     15
    108    86      256.5454    42      253.8387      258.0372    24463    1.65%x_ENSP0000029612 N    108    107     17
    110    88      256.5404    10      253.8387      258.0372    24479    1.65%x_ENSP0000034442 D    110    109     19
    112    90      256.5328    47      253.8387      258.0372    24522    1.65%x_ENSP0000031928 D    112    111     21
    114    92      256.5321    33      253.8387      258.0372    24535    1.65%x_ENSP0000024907 D    114    113     23
    116    94      256.5281    22      253.8387      258.0372    24576    1.65%x_ENSP0000022913 D    116    115     25
    118    96      256.5113    47      253.8387      258.0372    24614    1.65%x_ENSP0000030030 D    118    117     27
    120    98      256.4975    40      253.8387      258.0372    24680    1.65%x_ENSP0000000534 D    120    119     29
    121    99      256.4968    41      253.8387      258.0372    24686    1.65%x_ENSP0000035669 D    121    120     30
    122   100      256.4701    36      253.8387      258.0372    24728    1.65%x_ENSP0000036409 U    122    121     31
Elapsed time = 1147.23 sec. (594471.45 ticks, tree = 8.10 MB, solutions = 3)
    123   101      256.2371    36      253.8387      258.0372    24958    1.65%x_ENSP0000036888 N    123    122     32
    125   103      256.2335     2      253.8387      258.0372    24970    1.65%x_ENSP0000021923 U    125    124     34
*   126+   81                          256.1643      258.0372    24971    0.73%
    127    84      256.2305     5      256.1643      258.0372    24982    0.73%z_ENSMUSP0000005 U    127    126     36
    128    84      256.2165    27      256.1643      258.0372    25016    0.73%x_ENSP0000032337 D    128    127     37
